SECOND_FLD,review-count
12370_27000,57.0
12370_27001,6.0
12370_27002,72.0
12370_27003,110.0
12370_27004,271.0
12370_27010,0.0
12370_27011,1.0
12370_27013,1.0
12370_27014,0.0
12370_27029,7.0
12370_27030,1.0
12370_27031,0.0
12370_27034,0.0
12370_27055,0.0
12370_27056,11.0
12371_26945,0.0
12371_26948,5.0
12371_26949,0.0
12371_26950,0.0
12371_26960,4.0
12371_26961,1.0
12371_26962,52.0
12371_26963,9.0
12371_26964,41.0
12371_26965,104.0
12371_26975,0.0
12371_26991,0.0
12371_26992,4.0
12371_26993,1.0
12371_26994,0.0
12371_26995,0.0
12371_26998,18.0
12371_26999,0.0
12371_27000,8.0
12371_27001,38.0
12371_27003,286.0
12371_27004,35.0
12371_27005,2.0
12371_27007,0.0
12371_27031,13.0
12371_27045,0.0
12371_27056,3.0
12371_27057,28.0
12372_26963,149.0
12372_26964,118.0
12372_26977,11.0
12372_26978,1.0
12372_26987,144.0
12372_26992,1.0
12372_26993,25.0
12372_26998,2.0
12372_27003,0.0
12372_27004,1.0
12372_27006,0.0
12372_27033,1.0
12372_27035,374.0
12372_27037,5.0
12372_27038,2.0
12372_27039,121.0
12372_27053,0.0
12372_27056,3.0
12373_26949,30.0
12373_26955,17.0
12373_26956,0.0
12373_26959,286.0
12373_26960,21.0
12373_26961,0.0
12373_26962,7.0
12373_26963,360.0
12373_26964,2.0
12373_26965,62.0
12373_26978,0.0
12373_26995,0.0
12373_26996,0.0
12373_26998,2.0
12373_27000,0.0
12373_27001,0.0
12373_27002,7.0
12373_27003,1.0
12373_27006,0.0
12373_27008,0.0
12373_27010,0.0
12373_27022,3.0
12373_27031,0.0
12373_27035,3.0
12373_27036,0.0
12373_27038,0.0
12373_27042,3.0
12373_27046,0.0
12373_27047,4.0
12373_27055,0.0
12373_27056,11.0
12374_26955,1.0
12374_26958,3.0
12374_26959,3.0
12374_26961,0.0
12374_26962,0.0
12374_26963,631.0
12374_26967,8.0
12374_26992,0.0
12374_26994,3.0
12374_26998,0.0
12374_27004,2.0
12374_27008,0.0
12374_27031,17.0
12374_27032,1.0
12374_27042,17.0
12374_27055,1281.0
12374_27061,0.0
12374_27062,2.0
12375_26953,0.0
12375_26954,1.0
12375_26955,3.0
12375_26956,0.0
12375_26960,1.0
12375_26961,0.0
12375_26962,146.0
12375_26963,6.0
12375_26964,139.0
12375_26966,3.0
12375_26967,11.0
12375_26968,94.0
12375_26975,1.0
12375_26979,0.0
12375_26987,0.0
12375_26990,29.0
12375_26992,31.0
12375_27013,0.0
12375_27035,5.0
12375_27037,4.0
12375_27046,0.0
12375_27048,1.0
12376_26952,0.0
12376_26953,358.0
12376_26954,178.0
12376_26955,18.0
12376_26956,27.0
12376_26959,93.0
12376_26960,2.0
12376_26961,847.0
12376_26962,0.0
12376_26964,31.0
12376_26965,1980.0
12376_26966,83.0
12376_26967,59.0
12376_26975,51.0
12376_26978,4.0
12376_26982,139.0
12376_26986,0.0
12376_26987,0.0
12376_26989,0.0
12376_26990,0.0
12376_26994,0.0
12376_27000,0.0
12376_27004,0.0
12376_27012,11.0
12376_27013,29.0
12376_27014,119.0
12376_27015,6.0
12376_27016,0.0
12376_27033,0.0
12376_27034,6.0
12376_27035,2.0
12376_27041,0.0
12376_27047,3.0
12377_26940,18.0
12377_26945,0.0
12377_26951,0.0
12377_26952,0.0
12377_26953,342.0
12377_26954,1031.0
12377_26955,0.0
12377_26956,3.0
12377_26957,1939.0
12377_26958,1.0
12377_26959,3083.0
12377_26961,724.0
12377_26962,56.0
